sequence,accelx,accely,accelz,event
0,80,-20,980,0
1,80,-20,980,0
2,70,-20,990,0
3,80,-30,980,0
4,80,-20,990,0
5,80,-20,990,0
6,80,-30,990,0
7,80,-20,990,0
8,80,-20,1000,0
9,80,-20,990,0
10,70,-20,980,0
11,70,-20,980,0
12,70,-20,980,0
13,70,-20,980,0
14,80,-20,990,0
15,80,-20,990,0
16,80,-20,990,0
17,80,-20,990,0
18,80,-20,990,0
19,70,-20,980,0
20,70,-20,990,0
21,80,-20,980,0
22,80,-10,990,0
23,70,-10,990,0
24,70,-20,990,0
25,70,-10,990,0
26,70,-10,990,0
27,70,-10,990,0
28,70,-10,990,0
29,60,-20,990,0
30,70,-20,980,0
31,70,-10,980,0
32,70,-10,990,0
33,70,-10,990,0
34,70,-10,990,0
35,70,-10,990,0
36,70,-10,990,0
37,70,-10,990,0
38,70,-10,990,0
39,70,-10,990,0
40,80,-10,990,0
41,70,-10,990,0
42,70,-10,990,0
43,70,-10,990,0
44,70,-10,990,0
45,70,-20,990,0
46,70,-20,990,0
47,80,-20,990,0
48,80,-20,980,0
49,80,-20,980,0
50,70,-20,980,0
51,70,-20,990,0
52,60,-20,980,0
53,70,-20,990,0
54,80,-20,990,0
55,70,-20,990,0
56,80,-20,990,0
57,70,-30,980,0
58,90,-20,1000,0
59,70,-30,990,0
60,90,-30,990,0
61,50,-20,980,0
62,60,-40,980,0
63,50,-30,970,0
64,60,-40,980,0
65,50,-40,980,0
66,50,-40,990,0
67,80,-50,1000,0
68,50,-50,1000,0
69,30,-40,990,0
70,30,-50,1000,0
71,40,-50,990,0
72,60,-60,1000,0
73,80,-60,1010,0
74,60,-60,1020,0
75,150,-60,1070,0
76,10,-20,1010,0
77,80,-40,980,0
78,90,-30,970,0
79,60,-30,960,0
80,80,-50,970,0
81,90,-50,980,0
82,80,-40,990,0
83,90,-40,1000,0
84,80,-40,1000,0
85,90,-40,990,0
86,90,-40,990,0
87,90,-40,990,0
88,90,-40,990,0
89,90,-40,980,0
90,90,-30,980,0
91,90,-30,980,0
92,90,-40,990,0
93,90,-30,990,0
94,90,-40,990,0
95,90,-40,990,0
96,90,-40,990,0
97,90,-40,990,0
98,90,-40,990,0
99,90,-40,980,0
100,90,-40,990,2000
101,90,-40,990,2000
102,90,-40,980,2000
103,90,-30,980,2000
104,90,-40,990,2000
105,90,-40,980,2000
106,90,-30,980,2000
107,90,-40,980,2000
108,90,-40,990,2000
109,90,-40,980,2000
110,90,-40,980,2000
111,90,-40,980,2000
112,90,-40,980,2000
113,90,-40,990,2000
114,90,-40,990,2000
115,130,-40,1000,2000
116,90,-40,980,2000
117,100,-40,990,2000
118,90,-40,980,2000
119,90,-40,990,2000
120,100,-40,1000,2000
121,90,-40,990,2000
122,90,-40,990,2000
123,90,-40,990,2000
124,90,-40,990,2000
125,90,-40,990,2000
126,90,-40,980,2000
127,90,-40,980,2000
128,80,-40,980,2000
129,50,-50,980,2000
130,90,-60,980,2000
131,90,-110,970,2000
132,80,-170,940,2000
133,90,-200,930,2000
134,90,-220,960,2000
135,100,-230,1020,2000
136,110,-250,1100,2000
137,130,-240,1170,2000
138,180,-220,1220,2000
139,240,-160,1310,2000
140,260,-100,1370,2000
141,220,-10,1420,2000
142,110,90,1440,2000
143,0,180,1370,2000
144,-80,220,1240,2000
145,-130,280,1080,2000
146,-80,380,940,2000
147,-30,430,810,2000
148,-20,460,690,2000
149,30,480,620,2000
150,80,480,520,2000
151,140,490,480,2000
152,180,460,450,2000
153,250,380,430,2000
154,370,310,430,2000
155,390,300,380,2000
156,460,220,460,2000
157,510,110,410,2000
158,570,140,480,2000
159,590,110,480,2000
160,590,40,610,2000
161,570,0,660,2000
162,490,-80,760,2000
163,470,-90,940,2000
164,400,-130,1080,2000
165,340,-140,1220,2000
166,210,-170,1300,2000
167,220,-70,1400,2000
168,170,-100,1390,2000
169,150,140,1400,2000
170,170,230,1450,2000
171,-90,260,1310,2000
172,-240,300,1070,2000
173,-200,280,890,2000
174,-90,210,870,2000
175,0,140,900,2000
176,60,110,920,2000
177,60,60,950,2000
178,80,40,970,2000
179,90,40,990,2000
180,110,50,990,2000
181,90,90,990,2000
182,100,90,990,2000
183,80,100,990,2000
184,80,90,1000,2000
185,90,90,990,2000
186,80,100,980,2000
187,90,100,980,2000
188,80,100,980,2000
189,90,100,970,2000
190,70,90,980,2000
191,80,70,980,2000
192,80,80,980,2000
193,90,70,990,2000
194,90,90,980,2000
195,80,80,990,2000
196,90,80,990,2000
197,80,80,990,2000
198,80,80,990,2000
199,80,80,980,2000
200,80,80,980,2000
201,80,80,980,2000
202,80,80,980,2000
203,80,80,980,2000
204,80,80,990,2000
205,70,90,990,2000
206,90,70,990,2000
207,80,80,990,2000
208,80,70,980,2000
209,80,80,980,2000
210,70,70,980,2000
211,80,70,980,2000
212,70,70,980,2000
213,80,70,980,2000
214,90,70,990,2000
215,80,60,1000,2000
216,80,50,990,2000
217,80,60,980,2000
218,90,60,980,2000
219,80,60,980,2000
220,80,50,980,2000
221,80,50,980,2000
222,90,50,980,2000
223,20,70,970,2000
224,90,40,990,2000
225,30,40,990,2000
226,80,30,1010,2000
227,10,50,970,2000
228,50,40,1000,2000
229,40,30,1020,2000
230,80,30,1050,2000
231,130,30,1040,2000
232,30,60,970,2000
233,100,40,950,2000
234,-10,70,910,2000
235,130,20,990,2000
236,80,0,1020,2000
237,80,20,1040,2000
238,90,40,1060,2000
239,0,80,1000,2000
240,20,80,980,2000
241,80,20,990,2000
242,90,30,980,2000
243,80,50,970,2000
244,90,50,970,2000
245,90,30,990,2000
246,20,50,980,2000
247,90,40,990,2000
248,90,40,980,2000
249,90,40,990,2000
250,90,30,1000,0
251,90,30,990,0
252,90,40,980,0
253,80,50,980,0
254,80,50,980,0
255,80,50,990,0
256,90,50,990,0
257,90,40,990,0
258,90,40,990,0
259,90,40,990,0
260,90,40,990,0
261,90,50,990,0
262,90,50,980,0
263,90,40,980,0
264,90,40,980,0
265,90,40,980,0
266,90,50,980,0
267,90,50,980,0
268,90,50,990,0
269,90,50,990,0
270,90,40,990,0
271,90,40,980,0
272,90,40,980,0
273,90,40,980,0
274,90,40,980,0
275,90,40,980,0
276,90,40,970,0
277,80,40,970,0
278,70,40,970,0
279,70,40,970,0
280,60,50,970,0
281,60,50,980,0
282,40,50,1000,0
283,30,40,1010,0
284,10,40,1010,0
285,10,40,1000,0
286,-20,50,990,0
287,-20,40,980,0
288,-30,50,980,0
289,-40,40,1000,0
290,-40,40,1010,0
291,-40,40,1020,0
292,-60,40,1010,0
293,-60,40,1000,0
294,-80,40,1000,0
295,-80,40,990,0
296,-80,60,990,0
297,-90,70,990,0
298,-100,80,980,0
299,-110,80,980,0
300,-110,70,980,0
301,-110,70,980,0
302,-90,70,990,0
303,-80,70,990,0
304,-80,80,980,0
305,-90,80,980,0
306,-100,80,980,0
307,-100,80,980,0
308,-110,90,980,0
309,-100,90,980,0
310,-100,90,980,0
311,-110,90,980,0
312,-100,90,980,0
313,-100,90,990,0
314,-110,90,990,0
315,-110,90,990,0
316,-120,90,980,0
317,-110,90,980,0
318,-120,80,970,0
319,-100,90,980,0
320,-100,90,980,0
321,-100,90,990,0
322,-110,90,990,0
323,-120,90,990,0
324,-110,90,980,0
325,-110,90,980,0
326,-100,80,980,0
327,-110,90,980,0
328,-110,80,970,0
329,-110,80,970,0
330,-100,80,980,0
331,-110,90,980,0
332,-110,100,980,0
333,-110,90,980,0
334,-120,90,980,0
335,-110,90,980,0
336,-110,90,980,0
337,-110,90,990,0
338,-110,90,980,0
339,-110,90,980,0
340,-120,80,970,0
341,-120,80,980,0
342,-110,70,980,0
343,-100,80,980,0
344,-100,80,980,0
345,-110,80,980,0
346,-120,90,980,0
347,-130,90,980,0
348,-120,90,980,0
349,-120,90,980,0
350,-120,90,980,0
351,-120,90,980,0
352,-120,90,980,0
353,-120,90,980,0
354,-130,90,980,0
355,-120,90,980,0
356,-120,90,990,0
357,-120,90,980,0
358,-130,90,980,0
359,-130,90,980,0
360,-120,80,980,0
361,-110,80,970,0
362,-110,80,980,0
363,-120,80,980,0
364,-120,90,980,0
365,-130,100,980,0
366,-130,100,980,0
367,-130,100,980,0
368,-110,90,980,0
369,-110,90,980,0
370,-110,80,980,0
371,-120,90,980,0
372,-120,90,980,0
373,-120,100,980,0
374,-110,90,980,0
375,-110,100,980,0
376,-120,90,980,0
377,-120,90,980,0
378,-110,90,980,0
379,-110,100,980,0
380,-110,90,980,0
381,-110,100,990,0
382,-110,100,980,0
383,-120,100,980,0
384,-120,100,980,0
385,-110,100,980,0
386,-110,100,980,0
387,-110,100,980,0
388,-110,90,980,0
389,-110,90,980,0
390,-110,100,980,0
391,-110,100,980,0
392,-120,100,980,0
393,-120,100,980,0
394,-120,100,980,0
395,-110,100,980,0
396,-100,100,980,0
397,-110,90,970,0
398,-130,90,970,0
399,-130,90,960,0
400,-140,90,950,0
401,-150,60,940,0
402,-160,40,950,0
403,-160,20,940,0
404,-150,10,980,0
405,-130,10,1000,0
406,-120,0,1030,0
407,-110,-10,1040,0
408,-130,-10,1020,0
409,-130,-20,1030,0
410,-140,-40,1010,0
411,-140,-50,980,0
412,-150,-60,980,0
413,-150,-80,980,0
414,-150,-100,980,0
415,-140,-100,990,0
416,-150,-70,970,0
417,-150,-70,970,0
418,-150,-70,980,0
419,-150,-70,980,0
420,-150,-70,980,0
421,-150,-60,970,0
422,-150,-50,980,0
423,-140,-40,980,0
424,-150,-40,980,0
425,-150,-40,980,0
426,-150,-40,990,0
427,-150,-30,980,0
428,-150,-20,980,0
429,-150,-20,980,0
