sequence,accelx,accely,accelz,event
0,220,-20,970,0
1,220,-20,970,0
2,220,-10,970,0
3,210,-20,970,0
4,210,-20,970,0
5,220,-20,970,0
6,220,-20,980,0
7,220,-20,970,0
8,210,-10,970,0
9,220,-10,970,0
10,220,-20,970,0
11,220,-10,970,0
12,210,-20,970,0
13,220,-10,970,0
14,220,-20,970,0
15,220,-10,970,0
16,220,-10,970,0
17,210,-10,970,0
18,220,-10,970,0
19,210,-10,970,0
20,210,-10,970,0
21,220,-20,970,0
22,220,-20,970,0
23,220,-20,970,0
24,210,-20,970,0
25,210,-10,970,0
26,210,-10,970,0
27,220,-20,970,0
28,220,-10,970,0
29,220,-10,980,0
30,220,-20,980,0
31,220,-10,970,0
32,210,-10,970,0
33,210,-20,970,0
34,220,-20,970,0
35,220,-10,970,0
36,220,-10,970,0
37,210,-10,970,0
38,210,-20,970,0
39,220,-20,970,0
40,220,-20,970,0
41,210,-20,970,0
42,220,-20,970,0
43,220,-20,970,0
44,220,-20,980,0
45,220,-20,980,0
46,210,-10,970,0
47,220,-10,970,0
48,220,-10,970,0
49,210,-10,970,0
50,220,-20,970,0
51,220,-20,970,0
52,210,-10,970,0
53,210,-20,970,0
54,210,-20,970,0
55,220,-20,970,0
56,210,-20,980,0
57,220,-20,970,0
58,220,-20,970,0
59,220,-10,970,0
60,210,-20,970,0
61,210,-20,970,0
62,220,-20,970,0
63,220,-20,970,0
64,220,-20,970,0
65,210,-20,970,0
66,220,-10,980,0
67,220,-20,970,0
68,210,-20,970,0
69,210,-10,980,0
70,210,-10,970,0
71,220,-30,980,0
72,210,-10,970,0
73,210,-30,970,0
74,210,-10,970,0
75,210,-20,970,0
76,210,-10,970,0
77,210,-40,980,0
78,200,-20,980,0
79,210,-30,970,0
80,210,-30,970,0
81,230,-20,1000,0
82,210,-50,980,0
83,230,-10,970,0
84,240,-40,960,0
85,200,-50,950,0
86,220,-50,970,0
87,230,-30,1000,0
88,270,-30,990,0
89,230,-20,970,0
