sequence,accelx,accely,accelz,event
0,40,-80,990,0
1,50,-80,980,0
2,60,-80,980,0
3,80,-60,990,0
4,90,-60,990,0
5,80,-60,990,0
6,90,-60,990,0
7,80,-60,990,0
8,90,-60,990,0
9,80,-60,990,0
10,90,-70,990,0
11,80,-70,990,0
12,90,-60,1000,0
13,80,-60,990,0
14,90,-60,990,0
15,80,-50,990,0
16,80,-50,990,0
17,80,-50,990,0
18,80,-50,990,0
19,80,-50,990,0
20,70,-50,990,0
21,80,-50,990,0
22,80,-50,990,0
23,70,-40,990,0
24,80,-40,1000,0
25,70,-40,990,0
26,80,-50,990,0
27,70,-50,980,0
28,80,-40,990,0
29,70,-40,990,0
30,70,-40,990,0
31,70,-40,990,0
32,70,-40,980,0
33,80,-40,990,0
34,60,-40,990,0
35,70,-40,990,0
36,70,-40,990,0
37,70,-40,990,0
38,60,-40,990,0
39,60,-40,990,0
40,70,-50,990,0
41,60,-40,990,0
42,70,-40,990,0
43,50,-40,990,0
44,50,-40,990,0
45,70,-50,990,0
46,60,-40,990,0
47,60,-40,990,0
48,70,-30,980,0
49,60,-40,990,0
50,80,-40,990,0
51,40,-30,980,0
52,50,-50,1000,0
53,70,-50,980,0
54,70,-40,990,0
55,60,-40,980,0
56,50,-40,1000,0
57,20,-60,980,0
58,40,-30,990,0
59,-10,-40,990,0
60,30,-50,990,0
61,70,-30,1000,0
62,0,-20,990,0
63,50,-50,1030,0
64,20,-50,1000,0
65,30,-40,1020,0
66,10,-40,1020,0
67,80,-50,1020,0
68,110,-40,970,0
69,40,-10,970,0
70,30,-20,960,0
71,80,-10,990,0
72,60,-20,990,0
73,70,-20,1000,0
74,60,-30,1000,0
75,50,-30,990,2000
76,40,-30,990,2000
77,60,-30,990,2000
78,60,-30,990,2000
79,70,-30,980,2000
80,60,-30,980,2000
81,70,-30,990,2000
82,60,-40,990,2000
83,50,-30,990,2000
84,70,-30,1000,2000
85,70,-30,990,2000
86,60,-30,990,2000
87,70,-30,980,2000
88,70,-30,990,2000
89,70,-30,980,2000
90,70,-30,980,2000
91,60,-20,980,2000
92,30,0,980,2000
93,90,10,990,2000
94,40,60,960,2000
95,100,110,930,2000
96,90,170,920,2000
97,80,220,970,2000
98,50,240,1010,2000
99,40,260,1110,2000
100,-30,270,1200,2000
101,-40,240,1340,2000
102,-170,120,1590,2000
103,90,0,1880,2000
104,450,-210,1850,2000
105,860,-370,1640,2000
106,860,-380,1160,2000
107,1010,-320,770,2000
108,790,-300,470,2000
109,550,-290,310,2000
110,360,-250,230,2000
111,90,-230,180,2000
112,20,-160,240,2000
113,-210,-120,340,2000
114,-160,10,500,2000
115,-320,80,530,2000
116,-160,60,760,2000
117,-430,170,840,2000
118,-130,150,1030,2000
119,-380,270,1200,2000
120,-60,200,1260,2000
121,-80,170,1410,2000
122,-70,0,1430,2000
123,230,-40,1410,2000
124,10,-80,1280,2000
125,210,-140,1200,2000
126,240,-130,1160,2000
127,370,-160,1180,2000
128,180,-60,1080,2000
129,140,20,1010,2000
130,90,60,960,2000
131,160,50,960,2000
132,180,80,970,2000
133,170,50,970,2000
134,160,60,990,2000
135,160,40,990,2000
136,170,50,990,2000
137,190,60,980,2000
138,170,50,970,2000
139,200,60,980,2000
140,190,60,980,2000
141,200,60,990,2000
142,200,40,970,2000
143,190,60,960,2000
144,210,40,970,2000
145,170,40,980,2000
146,200,40,970,2000
147,100,50,970,2000
148,220,40,970,2000
149,160,90,1000,2000
150,160,40,1000,2000
151,190,50,1000,2000
152,170,70,1030,2000
153,130,50,1020,2000
154,150,30,960,2000
155,120,100,910,2000
156,140,70,970,2000
157,120,50,970,2000
158,150,80,1010,2000
159,170,40,1040,2000
160,90,50,1040,2000
161,110,50,990,2000
162,170,60,970,2000
163,180,60,970,2000
164,170,70,970,2000
165,170,50,970,2000
166,180,60,970,2000
167,170,60,970,2000
168,170,60,980,2000
169,180,50,980,2000
170,180,70,980,2000
171,190,60,990,2000
172,180,50,980,2000
173,160,70,980,2000
174,170,60,970,2000
175,180,60,980,0
176,180,60,980,0
177,180,60,980,0
178,170,60,980,0
179,170,60,970,0
180,170,60,980,0
181,170,60,980,0
182,190,50,990,0
183,180,60,980,0
184,180,60,980,0
185,180,60,980,0
186,180,60,980,0
187,170,60,970,0
188,180,60,980,0
189,180,60,980,0
190,180,70,980,0
191,180,60,980,0
192,180,70,980,0
193,180,60,980,0
194,180,60,980,0
195,180,60,970,0
196,180,60,970,0
197,180,60,970,0
198,190,60,980,0
199,190,60,980,0
200,180,60,980,0
201,180,50,980,0
202,180,60,980,0
203,190,60,980,0
204,200,60,980,0
205,190,60,970,0
206,190,70,970,0
207,190,60,980,0
208,190,70,980,0
209,200,100,980,0
210,200,80,980,0
211,200,50,980,0
212,190,60,970,0
213,200,60,980,0
214,200,60,970,0
215,190,70,970,0
216,200,60,970,0
217,190,60,980,0
218,190,60,980,0
219,200,60,980,0
220,190,50,980,0
221,200,60,970,0
222,200,60,970,0
223,200,60,980,0
224,200,60,980,0
225,200,60,970,0
226,200,50,980,0
227,200,60,970,0
228,200,60,970,0
229,200,70,970,0
230,210,60,970,0
231,200,60,980,0
232,190,60,980,0
233,200,50,980,0
234,200,50,970,0
235,200,60,970,0
236,200,60,970,0
237,200,50,980,0
238,210,50,980,0
239,200,60,980,0
240,200,60,980,0
241,200,60,970,0
242,200,60,970,0
243,200,60,970,0
244,200,50,970,0
245,200,60,970,0
246,210,50,980,0
247,210,50,980,0
248,200,60,980,0
249,200,50,980,0
250,200,60,980,0
251,210,50,970,0
252,200,50,980,0
253,210,50,980,0
254,200,50,970,0
255,200,50,980,0
256,200,50,970,0
257,210,50,980,0
258,200,50,970,0
259,200,50,970,0
260,200,50,980,0
261,200,50,980,0
262,200,50,980,0
263,200,50,970,0
264,210,50,980,0
265,200,50,970,0
266,200,50,970,0
267,200,50,980,0
268,200,50,980,0
269,200,50,970,0
270,200,50,970,0
271,200,50,970,0
272,200,60,980,0
273,200,50,970,0
274,200,50,970,0
275,210,50,980,0
276,200,50,970,0
277,200,50,970,0
278,190,50,970,0
279,200,50,970,0
280,180,50,980,0
281,170,40,970,0
282,190,60,990,0
283,170,50,980,0
284,190,40,980,0
285,170,50,980,0
286,180,50,980,0
287,180,50,980,0
288,150,50,970,0
289,190,50,980,0
290,160,50,970,0
291,190,40,980,0
292,140,70,1010,0
293,170,50,1020,0
294,150,60,1000,0
295,200,50,1010,0
296,160,50,980,0
297,210,60,950,0
298,150,60,950,0
299,190,70,970,0
300,200,60,980,0
301,200,60,970,0
302,210,50,980,0
303,190,50,980,0
304,200,60,980,0
305,200,50,980,0
306,190,60,980,0
307,200,60,970,0
308,200,50,970,0
309,200,50,970,0
310,190,50,970,0
311,190,50,970,0
312,200,50,970,0
313,190,50,980,0
314,200,50,980,0
315,190,50,970,0
316,200,60,980,0
317,200,50,980,0
318,200,50,980,0
319,200,50,970,0
320,200,60,970,0
321,200,60,970,0
322,200,60,970,0
323,200,60,980,0
324,200,60,980,0
325,190,50,980,2000
326,190,60,980,2000
327,200,60,980,2000
328,200,60,970,2000
329,200,60,980,2000
330,200,50,970,2000
331,200,60,980,2000
332,190,60,980,2000
333,200,60,980,2000
334,200,60,980,2000
335,200,50,970,2000
336,200,60,980,2000
337,190,60,970,2000
338,200,60,980,2000
339,200,60,970,2000
340,200,60,970,2000
341,200,60,980,2000
342,190,60,980,2000
343,210,60,970,2000
344,240,90,960,2000
345,210,150,930,2000
346,200,230,860,2000
347,120,310,850,2000
348,130,380,940,2000
349,160,370,1070,2000
350,90,370,1230,2000
351,50,370,1420,2000
352,200,320,1540,2000
353,230,200,1660,2000
354,420,30,1730,2000
355,590,-150,1670,2000
356,690,-220,1440,2000
357,910,-270,1130,2000
358,920,-290,740,2000
359,830,-330,470,2000
360,550,-340,280,2000
361,350,-250,180,2000
362,150,-130,90,2000
363,-40,-40,70,2000
364,-110,40,210,2000
365,-270,110,350,2000
366,-270,180,700,2000
367,-310,200,770,2000
368,-250,320,1010,2000
369,-210,290,970,2000
370,50,340,1330,2000
371,-110,360,1290,2000
372,200,240,1470,2000
373,120,180,1440,2000
374,320,140,1490,2000
375,230,10,1280,2000
376,500,-130,1230,2000
377,450,-110,1130,2000
378,490,-110,1100,2000
379,460,-100,1030,2000
380,350,-40,960,2000
381,380,20,930,2000
382,300,70,890,2000
383,350,110,920,2000
