sequence,accelx,accely,accelz,event
0,-350,-140,930,0
1,-350,-150,930,0
2,-360,-150,920,0
3,-380,-150,920,0
4,30,-130,1000,0
5,60,-110,990,0
6,40,-100,980,0
7,30,-100,980,0
8,30,-90,980,0
9,30,-90,990,0
10,40,-90,990,0
11,40,-100,1000,0
12,40,-90,990,0
13,40,-100,990,0
14,40,-100,990,0
15,40,-90,990,0
16,40,-90,990,0
17,40,-90,980,0
18,40,-100,990,0
19,50,-90,990,0
20,30,-80,990,0
21,30,-90,990,0
22,30,-90,990,0
23,40,-90,990,0
24,40,-100,990,0
25,40,-90,990,0
26,50,-90,990,0
27,50,-90,990,0
28,50,-90,980,0
29,50,-80,980,0
30,50,-80,980,0
31,40,-90,990,0
32,40,-90,990,0
33,50,-90,1000,0
34,50,-90,1000,0
35,50,-70,1000,0
36,30,-80,1000,0
37,50,-80,1000,0
38,-20,-80,970,0
39,100,-70,990,0
40,40,-80,970,0
41,40,-90,980,0
42,0,-120,970,0
43,10,-80,990,0
44,30,-120,1020,0
45,40,-120,1040,0
46,60,-110,1060,0
47,30,-70,1030,0
48,10,-60,970,0
49,50,-100,960,0
50,20,-120,890,0
51,50,-100,960,0
52,-50,-120,980,0
53,40,-120,1040,0
54,70,-100,1060,0
55,100,-80,1060,0
56,50,-90,1030,0
57,80,-110,1000,0
58,70,-140,970,0
59,90,-110,970,0
60,80,-100,960,0
61,80,-90,970,0
62,70,-90,980,0
63,80,-90,990,0
64,90,-90,990,0
65,90,-100,1000,0
66,90,-100,1010,0
67,90,-100,990,0
68,90,-90,990,0
69,90,-90,980,0
70,90,-90,980,0
71,90,-90,980,0
72,90,-90,980,0
73,90,-90,980,0
74,90,-90,980,0
75,90,-90,990,2
76,90,-90,990,2
77,90,-90,990,2
78,90,-90,990,2
79,90,-90,980,2
80,90,-90,980,2
81,90,-90,980,2
82,90,-90,990,2
83,90,-90,990,2
84,90,-90,990,2
85,90,-90,990,2
86,90,-90,990,2
87,90,-90,990,2
88,90,-90,990,2
89,90,-80,980,2
90,90,-90,990,2
91,90,-90,980,2
92,90,-80,1000,2
93,90,-80,1050,2
94,90,-40,1080,2
95,150,10,1130,2
96,130,40,1260,2
97,110,70,1380,2
98,110,60,1400,2
99,40,90,1380,2
100,-80,110,1260,2
101,-20,180,1230,2
102,10,220,1140,2
103,-80,170,1030,2
104,80,210,890,2
105,60,190,740,2
106,170,230,640,2
107,210,200,610,2
108,190,240,600,2
109,280,270,630,2
110,290,270,650,2
111,360,250,650,2
112,400,200,590,2
113,390,100,540,2
114,350,40,520,2
115,300,-10,550,2
116,150,-40,590,2
117,100,-80,720,2
118,30,-60,810,2
119,-190,-140,980,2
120,-170,-130,1100,2
121,-480,-240,1240,2
122,-590,-230,1210,2
123,-760,-200,1130,2
124,-610,-60,1150,2
125,-480,-120,1180,2
126,-790,-90,1090,2
127,-510,-100,1150,2
128,-510,-160,1240,2
129,-440,-260,1370,2
130,-420,-350,1450,2
131,-500,-410,1500,2
132,-480,-390,1580,2
133,-430,-270,1530,2
134,-440,-150,1380,2
135,-350,20,1100,2
136,-380,170,900,2
137,-200,290,720,2
138,-190,320,580,2
139,-20,320,510,2
140,-90,350,500,2
141,-10,440,440,2
142,90,500,420,2
143,-70,500,290,2
144,70,560,250,2
145,-100,540,140,2
146,-210,500,80,2
147,-280,480,90,2
148,-300,420,220,2
149,-230,470,290,2
150,-260,390,550,2
151,-210,280,720,2
152,-380,220,960,2
153,-260,30,1070,2
154,-340,-50,1230,2
155,-350,-210,1380,2
156,-80,-300,1620,2
157,-150,-290,1500,2
158,-30,-340,1440,2
159,-10,-350,1370,2
160,-100,-260,1240,2
161,-100,-220,1170,2
162,-220,-110,1010,2
163,-280,-100,970,2
164,-260,-160,970,2
165,-270,-120,950,2
166,-280,-90,940,2
167,-290,-50,950,2
168,-280,-70,970,2
169,-270,-50,970,2
170,-270,-70,970,2
171,-270,-70,970,2
172,-260,-90,970,2
173,-240,-90,940,2
174,-260,-100,950,2
175,-250,-100,970,2
176,-250,-90,970,2
177,-250,-120,970,2
178,-250,-110,980,2
179,-230,-120,990,2
180,-270,-90,970,2
181,-240,-100,970,2
182,-260,-90,950,2
183,-240,-110,970,2
184,-240,-110,960,2
185,-260,-90,970,2
186,-260,-100,970,2
187,-250,-70,970,2
188,-260,-100,960,2
189,-240,-90,960,2
190,-250,-100,960,2
191,-300,-70,950,2
192,-200,-100,980,2
193,-230,-110,990,2
194,-210,-120,1000,2
195,-260,-80,960,2
196,-240,-100,950,2
197,-240,-60,940,2
198,-250,-70,930,2
199,-210,-120,970,2
200,-290,-70,950,2
201,-200,-110,1010,2
202,-240,-100,1030,2
203,-230,-110,1020,2
204,-260,-90,980,2
205,-250,-110,950,2
206,-250,-100,960,2
207,-210,-90,970,2
208,-200,-100,970,2
209,-230,-100,970,2
210,-220,-100,970,2
211,-220,-100,970,2
212,-220,-100,970,2
213,-210,-90,970,2
214,-220,-90,970,2
215,-220,-90,980,2
216,-220,-90,980,2
217,-210,-100,970,2
218,-220,-90,970,2
219,-210,-100,970,2
220,-210,-100,980,2
221,-210,-100,970,2
222,-210,-90,970,2
223,-220,-90,970,2
224,-220,-100,980,2
225,-220,-90,980,0
226,-220,-90,980,0
227,-210,-90,970,0
228,-220,-100,970,0
229,-220,-90,970,0
230,-210,-90,970,0
231,-210,-90,970,0
232,-220,-90,970,0
233,-220,-80,970,0
234,-220,-100,970,0
235,-210,-90,980,0
236,-210,-90,970,0
237,-210,-100,970,0
238,-220,-90,970,0
239,-220,-90,970,0
240,-210,-100,970,0
241,-220,-100,970,0
242,-220,-90,970,0
243,-210,-90,970,0
244,-220,-100,970,0
245,-220,-100,970,0
246,-210,-110,960,0
247,-210,-110,960,0
248,-220,-130,960,0
249,-200,-180,950,0
250,-160,-240,880,0
251,-150,-310,860,0
252,-110,-290,930,0
253,-20,-250,950,0
254,-100,-200,1060,0
255,-130,-100,1000,0
256,-260,-60,1020,0
257,-300,-50,1050,0
258,-350,-40,1020,0
259,-340,-60,1010,0
260,-310,-90,960,0
261,-310,-130,990,0
262,-260,-180,950,0
263,-250,-230,960,0
264,-260,-250,950,0
265,-260,-250,940,0
266,-280,-200,920,0
267,-300,-160,910,0
268,-330,-140,880,0
269,-360,-130,880,0
270,-400,-120,880,0
271,-430,-130,890,0
272,-470,-130,880,0
273,-480,-120,890,0
274,-480,-120,870,0
275,-490,-120,880,0
276,-510,-130,860,0
277,-520,-140,920,0
278,-520,-130,950,0
279,-490,-140,910,0
280,-490,-130,850,0
281,-530,-120,810,0
282,-570,-110,840,0
283,-530,-110,850,0
284,-520,-110,860,0
285,-520,-120,850,0
286,-530,-120,820,0
287,-530,-120,830,0
288,-550,-110,820,0
289,-550,-110,810,0
290,-550,-110,810,0
291,-570,-120,800,0
292,-570,-120,800,0
293,-580,-110,800,0
294,-570,-110,810,0
295,-570,-110,800,0
296,-570,-110,800,0
297,-580,-110,800,0
298,-580,-110,800,0
299,-580,-110,800,0
300,-580,-110,790,0
301,-580,-110,800,0
302,-580,-110,790,0
303,-580,-110,790,0
304,-580,-110,790,0
305,-580,-110,790,0
306,-580,-110,780,0
